 | Qmax: -1.3746
| Reward: -5 | Episode: 11414 | Qmax: -1.3537
| Reward: -5 | Episode: 11415 | Qmax: -1.3672
| Reward: -5 | Episode: 11416 | Qmax: -1.3646
| Reward: -5 | Episode: 11417 | Qmax: -1.3577
| Reward: -5 | Episode: 11418 | Qmax: -1.3565
| Reward: -5 | Episode: 11419 | Qmax: -1.3619
| Reward: -5 | Episode: 11420 | Qmax: -1.3561
| Reward: -5 | Episode: 11421 | Qmax: -1.3606
| Reward: -5 | Episode: 11422 | Qmax: -1.3648
| Reward: -5 | Episode: 11423 | Qmax: -1.3560
| Reward: -5 | Episode: 11424 | Qmax: -1.3614
| Reward: -5 | Episode: 11425 | Qmax: -1.3606
| Reward: -5 | Episode: 11426 | Qmax: -1.3587
| Reward: -5 | Episode: 11427 | Qmax: -1.3661
| Reward: -5 | Episode: 11428 | Qmax: -1.3569
| Reward: -5 | Episode: 11429 | Qmax: -1.3599
| Reward: -5 | Episode: 11430 | Qmax: -1.3604
| Reward: -5 | Episode: 11431 | Qmax: -1.3601
| Reward: -5 | Episode: 11432 | Qmax: -1.3615
| Reward: -5 | Episode: 11433 | Qmax: -1.3577
| Reward: -5 | Episode: 11434 | Qmax: -1.3625
| Reward: -5 | Episode: 11435 | Qmax: -1.3536
| Reward: -5 | Episode: 11436 | Qmax: -1.3588
| Reward: -5 | Episode: 11437 | Qmax: -1.3662
| Reward: -5 | Episode: 11438 | Qmax: -1.3561
| Reward: -5 | Episode: 11439 | Qmax: -1.3573
| Reward: -5 | Episode: 11440 | Qmax: -1.3564
| Reward: -5 | Episode: 11441 | Qmax: -1.3564
| Reward: -5 | Episode: 11442 | Qmax: -1.3572
| Reward: -5 | Episode: 11443 | Qmax: -1.3598
| Reward: -5 | Episode: 11444 | Qmax: -1.3544
| Reward: -5 | Episode: 11445 | Qmax: -1.3569
| Reward: -5 | Episode: 11446 | Qmax: -1.3556
| Reward: -5 | Episode: 11447 | Qmax: -1.3531
| Reward: -5 | Episode: 11448 | Qmax: -1.3595
| Reward: -5 | Episode: 11449 | Qmax: -1.3641
| Reward: -5 | Episode: 11450 | Qmax: -1.3537
| Reward: -5 | Episode: 11451 | Qmax: -1.3568
| Reward: -5 | Episode: 11452 | Qmax: -1.3617
| Reward: -5 | Episode: 11453 | Qmax: -1.3541
| Reward: -5 | Episode: 11454 | Qmax: -1.3589
| Reward: -5 | Episode: 11455 | Qmax: -1.3609
| Reward: -5 | Episode: 11456 | Qmax: -1.3608
| Reward: -5 | Episode: 11457 | Qmax: -1.3541
| Reward: -5 | Episode: 11458 | Qmax: -1.3569
| Reward: -5 | Episode: 11459 | Qmax: -1.3508
| Reward: -5 | Episode: 11460 | Qmax: -1.3484
| Reward: -5 | Episode: 11461 | Qmax: -1.3570
| Reward: -5 | Episode: 11462 | Qmax: -1.3592
| Reward: -5 | Episode: 11463 | Qmax: -1.3539
| Reward: -5 | Episode: 11464 | Qmax: -1.3561
| Reward: -5 | Episode: 11465 | Qmax: -1.3555
| Reward: -5 | Episode: 11466 | Qmax: -1.3526
| Reward: -5 | Episode: 11467 | Qmax: -1.3539
| Reward: -5 | Episode: 11468 | Qmax: -1.3609
| Reward: -5 | Episode: 11469 | Qmax: -1.3550
| Reward: -5 | Episode: 11470 | Qmax: -1.3593
| Reward: -5 | Episode: 11471 | Qmax: -1.3549
| Reward: -5 | Episode: 11472 | Qmax: -1.3639
| Reward: -5 | Episode: 11473 | Qmax: -1.3549
| Reward: -5 | Episode: 11474 | Qmax: -1.3560
| Reward: -5 | Episode: 11475 | Qmax: -1.3492
| Reward: -5 | Episode: 11476 | Qmax: -1.3525
| Reward: -5 | Episode: 11477 | Qmax: -1.3592
| Reward: -5 | Episode: 11478 | Qmax: -1.3526
| Reward: -5 | Episode: 11479 | Qmax: -1.3549
| Reward: -5 | Episode: 11480 | Qmax: -1.3570
| Reward: -5 | Episode: 11481 | Qmax: -1.3536
| Reward: -5 | Episode: 11482 | Qmax: -1.3553
| Reward: -5 | Episode: 11483 | Qmax: -1.3498
| Reward: -5 | Episode: 11484 | Qmax: -1.3513
| Reward: -5 | Episode: 11485 | Qmax: -1.3599
| Reward: -5 | Episode: 11486 | Qmax: -1.3503
| Reward: -5 | Episode: 11487 | Qmax: -1.3565
| Reward: -5 | Episode: 11488 | Qmax: -1.3549
| Reward: -5 | Episode: 11489 | Qmax: -1.3559
| Reward: -5 | Episode: 11490 | Qmax: -1.3637
| Reward: -5 | Episode: 11491 | Qmax: -1.3552
| Reward: -5 | Episode: 11492 | Qmax: -1.3558
| Reward: -5 | Episode: 11493 | Qmax: -1.3573
| Reward: -5 | Episode: 11494 | Qmax: -1.3594
| Reward: -5 | Episode: 11495 | Qmax: -1.3567
| Reward: -5 | Episode: 11496 | Qmax: -1.3569
| Reward: -5 | Episode: 11497 | Qmax: -1.3543
| Reward: -5 | Episode: 11498 | Qmax: -1.3555
| Reward: -5 | Episode: 11499 | Qmax: -1.3529
| Reward: -5 | Episode: 11500 | Qmax: -1.3534
| Reward: -5 | Episode: 11501 | Qmax: -1.3597
| Reward: -5 | Episode: 11502 | Qmax: -1.3493
| Reward: -5 | Episode: 11503 | Qmax: -1.3574
| Reward: -5 | Episode: 11504 | Qmax: -1.3595
| Reward: -5 | Episode: 11505 | Qmax: -1.3563
| Reward: -5 | Episode: 11506 | Qmax: -1.3549
| Reward: -5 | Episode: 11507 | Qmax: -1.3596
| Reward: -5 | Episode: 11508 | Qmax: -1.3548
| Reward: -5 | Episode: 11509 | Qmax: -1.3560
| Reward: -5 | Episode: 11510 | Qmax: -1.3583
| Reward: -5 | Episode: 11511 | Qmax: -1.3673
| Reward: -5 | Episode: 11512 | Qmax: -1.3575
| Reward: -5 | Episode: 11513 | Qmax: -1.3549
